Species,Scientific Name,Habitat,Protect on USFS,Taxon,Row type,Impact Buffer,Species Specific Guidance,Pre- activity survey,Review Language (DNO),RPM (DNO),Class Type,Review Language (1),RPM (1),RPM Translation (1),Review Language (2),RPM (2),RPM Translation (2),Review Language (3),RPM (3),RPM Translation (3),Review Language (4),RPM (4),RPM Translation (4)
Last Chance rockcress,Boechera yorkii,"rock crevices, ledges calcareous rock crevices",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
late flowered mariposa-lily,Calochortus fimbriatus,"dry, open coastal woodland, chaparral",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"late flowered mariposa-lily (FSS; CRPR 1B.3, Blooming Period: Jun - Aug; Habitat description: dry, open coastal woodland, chaparral) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"late flowered mariposa-lily (FSS; CRPR 1B.3, Blooming Period: Jun - Aug; Habitat description: dry, open coastal woodland, chaparral) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (late flowered mariposa-lily): A biological survey is required. 

FSS Plant Avoidance (late flowered mariposa-lily): If late flowered mariposa-lily is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Latimer's woodland gilia,Saltugilia latimeri,"dry desert slopes, coarse sand or rocky soils, scrub",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Latimer's woodland gilia (FSS; BLM:S; CRPR 1B.2, Blooming Period: Mar - Jun; Habitat description: dry desert slopes, coarse sand or rocky soils, scrub) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Latimer's woodland gilia (FSS; BLM:S; CRPR 1B.2, Blooming Period: Mar - Jun; Habitat description: dry desert slopes, coarse sand or rocky soils, scrub) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Latimer's woodland gilia): A biological survey is required. 

FSS Plant Avoidance (Latimer's woodland gilia): If Latimer's woodland gilia is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Lavin's milk-vetch,Astragalus oophorus var. lavinii,"dry open areas, sagebrush, pine",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Lawrence's goldfinch,Spinus lawrencei,"open woodlands, chaparral, brushy areas, open fields of tall annual weeds",No,Bird,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Layne's ragwort,Packera layneae,"openings, disturbed areas, serpentine ",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Layne's ragwort (FT; SR; CRPR 1B.2, Blooming Period: Apr - Jun; Habitat description: openings, disturbed areas, serpentine ) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ","RPM Plant 1; 
Standard OMP BMPs. ",IIB,"Layne's ragwort (FT; SR; CRPR 1B.2, Blooming Period: Apr - Jun; Habitat description: openings, disturbed areas, serpentine ) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","RPM Plant-1-4; 
General Measures and Standard OMP BMPs. ","Rare Plant Survey and Avoidance (Layne's ragwort): A qualified botanist will conduct a rare plant survey for Layne's ragwort within blooming season, verified by a reference population. All federally-listed plants within 100 feet of the work area will be flagged for avoidance. Coordination with Environmental Services Department will be required if full avoidance cannot be achieved. 

Schedule Limitation (Layne's ragwort): Schedule all work in the year rare plant surveys are conducted. Work can occur only after rare plant surveys occur. If work gets delayed for a subsequent year, contact Environmental Services Department. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Le Conte's thrasher,Toxostoma lecontei,"very dry, lightly vegetated desert",No,Bird,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Leafy reed grass,Calamagrostis foliosa,"coastal scrub, forest, rock outcrops, crevices, cliffs",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
leafy stemmed mitrewort,Mitellastra caulescens,wet shaded areas,Yes,Plant,Formula,Work area,"Only discussed in INF, if reviewing INF apply same RPM's and language as other CRPR 1/2 plant receive. ",Pre-activity Survey Required,"leafy stemmed mitrewort (INF:SCC; CRPR 4.2, Blooming Period: May - Jul; Habitat description: wet shaded areas) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"leafy stemmed mitrewort (INF:SCC; CRPR 4.2, Blooming Period: May - Jul; Habitat description: wet shaded areas) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (leafy stemmed mitrewort): A biological survey is required. 

FSS Plant Avoidance (leafy stemmed mitrewort): If leafy stemmed mitrewort is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Least Bell's vireo,vireo bellii pusillus,willow thickets and dense shrubs near riparian areas,Yes,Bird,Formula,Work area,--,Pre-activity Survey Required,Least Bell's vireo (FE; SE; Habitat description: willow thickets and dense shrubs near riparian areas) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat).,Standard OMP BMPs.,IIB,Least Bell's vireo (FE; SE; Habitat description: willow thickets and dense shrubs near riparian areas) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present).,"RPM LBVI-1-3, 4(b-c); 
General Measures and Standard OMP BMPs. ","Schedule Limitation (LBVI): Schedule all work between September 1 and February 28; if the project cannot comply with these dates, contact SCE ED. 

Biological Monitor (least Bill's vireo): A biological monitor is required to survey the workspace and be present as needed. In addition, tailboard with the biological monitor is required prior to ground or vegetation disturbing activities. Any flagging used must be removed after work is completed. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
least bittern,Ixobrychus exilis,"dense marshland, reedy ponds",No,Bird,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
legenere,Legenere limosa,"wet areas, vernal pools, ponds",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Lemmon's jewelflower,Caulanthus lemmonii,"grassland, chaparral, scrub",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Lemmon's jewelflower (FSS; BLM:S; CRPR 1B.2, Blooming Period: Mar - May; Habitat description: grassland, chaparral, scrub) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Lemmon's jewelflower (FSS; BLM:S; CRPR 1B.2, Blooming Period: Mar - May; Habitat description: grassland, chaparral, scrub) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Lemmon's jewelflower): A biological survey is required. 

FSS Plant Avoidance (Lemmon's jewelflower): If Lemmon's jewelflower is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Lemmon's milk-vetch,Astragalus lemmonii,"meadows, lake shores moist alkaline meadows ",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Lemmon's milk-vetch (FSS; BLM:S; CRPR 1B.2, Blooming Period: May - Sep; Habitat description: meadows, lake shores moist alkaline meadows ) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Lemmon's milk-vetch (FSS; BLM:S; CRPR 1B.2, Blooming Period: May - Sep; Habitat description: meadows, lake shores moist alkaline meadows ) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Lemmon's milk-vetch): A biological survey is required. 

FSS Plant Avoidance (Lemmon's milk-vetch): If Lemmon's milk-vetch is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
lemon lily,Lilium parryi,"meadows, streams, seeps, wet areas, shady canyons along perennial rivers, usually in conifer forest",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"lemon lily (FSS; CRPR 1B.2, Blooming Period: Jun - Sep; Habitat description: meadows, streams, seeps, wet areas, shady canyons along perennial rivers, usually in conifer forest) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"lemon lily (FSS; CRPR 1B.2, Blooming Period: Jun - Sep; Habitat description: meadows, streams, seeps, wet areas, shady canyons along perennial rivers, usually in conifer forest) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (lemon lily): A biological survey is required. 

FSS Plant Avoidance (lemon lily): If lemon lily is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
lens pod milk-vetch,Astragalus lentiformis,sagebrush or pine dry sandy soils,Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"lens pod milk-vetch (FSS; BLM:S; CRPR 1B.2, Blooming Period: May - Jul; Habitat description: sagebrush or pine dry sandy soils) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"lens pod milk-vetch (FSS; BLM:S; CRPR 1B.2, Blooming Period: May - Jul; Habitat description: sagebrush or pine dry sandy soils) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (lens pod milk-vetch): A biological survey is required. 

FSS Plant Avoidance (lens pod milk-vetch): If lens pod milk-vetch is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
lesser long-nosed bat,Leptonycteris yerbabuenae,"found near cacti, caves, desert scrub and on wooded mountains",Yes,Mammal,Formula,Work area,--,Pre-activity Survey Required,"lesser long-nosed bat (CDFW SSC; SBNF:WL; Habitat description: found near cacti, caves, desert scrub and on wooded mountains) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"lesser long-nosed bat (CDFW SSC; SBNF:WL; Habitat description: found near cacti, caves, desert scrub and on wooded mountains) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Mammal-1; 
General Measures and Standard OMP BMPs. ",General Measures and Standard OMP BMPs.,--,--,--,--,--,--,--,--,--
lesser saltscale,Atriplex minuscula,sandy alkaline soil,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
lesser slender salamander,Batrachoseps minor,"moist locations in forests of mixed oak, tanbark oak, sycamore and laurel above 1,300 ft",Yes,Amphibian,Formula,Work area,--,Pre-activity Survey Required,"lesser slender salamander (CDFW SSC; FSS; Habitat description: moist locations in forests of mixed oak, tanbark oak, sycamore and laurel above 1,300 ft) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"lesser slender salamander (CDFW SSC; FSS; Habitat description: moist locations in forests of mixed oak, tanbark oak, sycamore and laurel above 1,300 ft) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","Biological Pre-activity Survey (lesser slender salamander; 
General Measures and Standard OMP BMPs. ","Biological Pre-activity Survey (lesser slender salamander): A biological survey is required. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Letterman's blue grass,Poa lettermanii,"high alpine, around boulders sandy soil around boulders",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Lewis Rose's ragwort,Packera eurycephala var lewisrosei,rocky slopes serpentine-derived soil,Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Lewis Rose's ragwort (FSS; BLM:S; CRPR 1B.2, Blooming Period: Apr - Jun; Habitat description: rocky slopes serpentine-derived soil) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Lewis Rose's ragwort (FSS; BLM:S; CRPR 1B.2, Blooming Period: Apr - Jun; Habitat description: rocky slopes serpentine-derived soil) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Lewis Rose's ragwort): A biological survey is required. 

FSS Plant Avoidance (Lewis Rose's ragwort): If Lewis Rose's ragwort is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Lewis' woodpecker,Melanerpes lewis,--,No,Bird,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Liddon's sedge,Carex petasata,"meadows, open forest dry to wet meadows",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Liddon's sedge (INF:SCC; CRPR 2B.3, Blooming Period: Jun - Jul; Habitat description: meadows, open forest dry to wet meadows) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Liddon's sedge (INF:SCC; CRPR 2B.3, Blooming Period: Jun - Jul; Habitat description: meadows, open forest dry to wet meadows) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Liddon's sedge): A biological survey is required. 

FSS Plant Avoidance (Liddon's sedge): If Liddon's sedge is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
light gray lichen,Mobergia calculiformis,on rocks,Yes,Plant,Formula,Work area,"Only discussed in INF, if reviewing INF apply same RPM's and language as other CRPR 1/2 plant receive. ",Pre-activity Survey Required,light gray lichen (INF:SCC; CRPR 3; Habitat description: on rocks) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat).,Standard OMP BMPs.,IIB,light gray lichen (INF:SCC; CRPR 3; Habitat description: on rocks) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present).,"BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (light gray lichen): A biological survey is required. 

FSS Plant Avoidance (light gray lichen): If light gray lichen is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
light-footed Ridgway's rail,Rallus obsoletus levipes,coastal salt marshes and surrounding coastal wetlands/meadows,Yes,Bird,Formula,--,Notify SME if found on USFS,Pre-activity Survey Required,light-footed Ridgway's rail (FE; SE; CDFW FP; Habitat description: coastal salt marshes and surrounding coastal wetlands/meadows) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (--).,--,--,light-footed Ridgway's rail (FE; SE; CDFW FP; Habitat description: coastal salt marshes and surrounding coastal wetlands/meadows) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (--).,Notify SME if found on USFS,Notify SME if found on USFS,--,--,--,--,--,--,--,--,--
lilliput lupine,Lupinus uncialis,"open areas, barrens, talus in sagebrush or pine woodland, on limestone, rhyolite, gravel volcanic gravel",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Lime Ridge eriastrum,Eriastrum ertterae,edge of chaparral hard packed sand at the edge of chaparral,Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Lime Ridge eriastrum (SCE; CRPR 1B.1, Blooming Period: Jun - Jun; Habitat description: edge of chaparral hard packed sand at the edge of chaparral) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Lime Ridge eriastrum (SCE; CRPR 1B.1, Blooming Period: Jun - Jun; Habitat description: edge of chaparral hard packed sand at the edge of chaparral) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Lime Ridge eriastrum): A biological survey is required. 

State Threatened Plant Avoidance (Lime Ridge eriastrum): If Lime Ridge eriastrumis observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure this State Threatened Plant is fully avoided. Contact SCE BAR if full avoidance cannot be achieved.

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Lime Ridge navarretia,Navarretia gowenii,"clay, serpentine",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Limestone beardtongue,Penstemon calcareus,"limestone crevices, rocky slopes in pine woodland, Joshua-tree scrub rocky slopes in pinyon/juniper woodland",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Limestone beardtongue (INF:SCC; CRPR 1B.3, Blooming Period: Apr - May; Habitat description: limestone crevices, rocky slopes in pine woodland, Joshua-tree scrub rocky slopes in pinyon/juniper woodland) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Limestone beardtongue (INF:SCC; CRPR 1B.3, Blooming Period: Apr - May; Habitat description: limestone crevices, rocky slopes in pine woodland, Joshua-tree scrub rocky slopes in pinyon/juniper woodland) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (limestone beardtongue): A biological survey is required. 

FSS Plant Avoidance (limestone beardtongue): If limestone beardtongue is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Limestone daisy,Erigeron uncialis var uncialis,"limestone crevices, sagebrush scrub, forest subalpine forest",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Limestone daisy (FSS; CRPR 1B.2, Blooming Period: Jun - Jul; Habitat description: limestone crevices, sagebrush scrub, forest subalpine forest) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Limestone daisy (FSS; CRPR 1B.2, Blooming Period: Jun - Jul; Habitat description: limestone crevices, sagebrush scrub, forest subalpine forest) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (limestone daisy): A biological survey is required. 

FSS Plant Avoidance (limestone daisy): If limestone daisy is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
limestone monkeyflower,Erythranthe calcicola,disturbed areas along small streams generally granitic soil,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
limestone salamander,Hydromantes brunus,mossy limestone crevices and cliffside rock fragments; has also been found in abandoned mine tunnels,Yes,Amphibian,Formula,--,Notify SME if found on USFS,Pre-activity Survey Required,limestone salamander (ST; CDFW FP; FSS; BLM:S; Habitat description: mossy limestone crevices and cliffside rock fragments; has also been found in abandoned mine tunnels) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (--).,--,--,limestone salamander (ST; CDFW FP; FSS; BLM:S; Habitat description: mossy limestone crevices and cliffside rock fragments; has also been found in abandoned mine tunnels) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (--).,Notify SME if found on USFS,Notify SME if found on USFS,--,--,--,--,--,--,--,--,--
Lincoln rockcress,Boechera lincolnensis,"rocky slopes, sagebrush, scrubland gravelly soil",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Little bulrush,Trichophorum pumilum,wet site limestone soils,Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Little bulrush (INF:SCC; CRPR 2B.2, Blooming Period: Jun - Aug; Habitat description: wet site limestone soils) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Little bulrush (INF:SCC; CRPR 2B.2, Blooming Period: Jun - Aug; Habitat description: wet site limestone soils) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (little bulrush): A biological survey is required. 

FSS Plant Avoidance (little bulrush): If little bulrush is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
little cutleaf,Hymenopappus filifolius var nanus,"pine forest limestone soils, pinyon/juniper woodland, subalpine forest",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
little hulsea,Hulsea nana,talus volcanic talus,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Little Kern golden trout,Oncorhynchus mykiss whitei,"intermittent or perennial stream, pond, lake or jurisdictional waters feature",Yes,Fish,--,--,Notify SME if found on USFS,Pre-activity Survey Required,"Little Kern golden trout (FT; Habitat description: intermittent or perennial stream, pond, lake or jurisdictional waters feature) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,--,"Little Kern golden trout (FT; Habitat description: intermittent or perennial stream, pond, lake or jurisdictional waters feature) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (--). ",Notify SME if found on USFS,Notify SME if found on USFS,--,--,--,--,--,--,--,--,--
little leaf elephant tree,Bursera microphylla,rocky slopes,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
little leaved huckleberry,Vaccinium scoparium,rocky woodland subalpine woodland,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
